場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,日付S,所属,種牡馬名,母名,現馬主名,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260610,水,8:41,ジーティーキャメル,,牡,2,0,宮地貴稔,,136.1,116.4,97.2,80.8,67.2,53.1,38.5,24.5,12.4,19.7,19.2,16.4,13.6,14.1,14.6,14.0,12.1,12.4,2026.6.10,栗東,ロードカナロア,レディマカパ,田畑利彦,
栗東,C,左,20260609,火,7:41,ヴィヴェローネ,,牝,2,0,高野友和,,172.3,147.6,126.5,107.3,88.6,69.6,50.7,32.9,16.1,24.7,21.1,19.2,18.7,19.0,18.9,17.8,16.8,16.1,2026.6.9,栗東,サートゥルナーリア,ヴァイブランス,社台レースホース,
栗東,C,右,20260613,土,5:41,ヴィヴェローネ,,牝,2,0,高野友和,,177.9,153.7,132.2,112.6,93.7,74.4,54.3,35.3,18.0,24.2,21.5,19.6,18.9,19.3,20.1,19.0,17.3,18.0,2026.6.13,栗東,サートゥルナーリア,ヴァイブランス,社台レースホース,
栗東,C,左,20260616,火,5:44,ヴィヴェローネ,,牝,2,0,高野友和,,184.7,161.1,137.8,116.0,94.8,73.8,54.0,35.4,17.5,23.6,23.3,21.8,21.2,21.0,19.8,18.6,17.9,17.5,2026.6.16,栗東,サートゥルナーリア,ヴァイブランス,社台レースホース,
栗東,C,右,20260611,木,6:00,ブレイクガール,,牝,2,0,武幸四郎,,,,,83.2,67.8,52.4,37.3,23.2,11.2,,,,15.4,15.4,15.1,14.1,12.0,11.2,2026.6.11,栗東,キズナ,ラッキーダイム,藤田晋,
栗東,C,右,20260617,水,5:52,ブレイクガール,,牝,2,0,武幸四郎,,,,,,,52.6,37.5,23.8,11.7,,,,,,15.1,13.7,12.1,11.7,2026.6.17,栗東,キズナ,ラッキーダイム,藤田晋,
栗東,C,右,20260611,木,5:28,ドラゴンドール,,牡,2,0,大久保龍,,134.9,114.9,96.0,80.3,66.3,52.5,37.9,24.3,12.0,20.0,18.9,15.7,14.0,13.8,14.6,13.6,12.3,12.0,2026.6.11,栗東,アドマイヤマーズ,エライヤ,落合幸弘,
栗東,C,左,20260609,火,5:30,トップチェッカー,,牡,2,400,武英智,,172.6,150.7,130.5,111.7,93.5,74.9,55.9,36.7,18.4,21.9,20.2,18.8,18.2,18.6,19.0,19.2,18.3,18.4,2026.6.9,栗東,インディチャンプ,ミッキーオリーブ,シルクレーシング,
栗東,C,右,20260617,水,6:11,トップチェッカー,,牡,2,400,武英智,,152.3,131.3,107.8,87.2,69.7,53.6,37.6,23.1,11.5,21.0,23.5,20.6,17.5,16.1,16.0,14.5,11.6,11.5,2026.6.17,栗東,インディチャンプ,ミッキーオリーブ,シルクレーシング,
栗東,C,右,20260611,木,8:19,マーゴットマシェリ,,牝,2,0,小林真也,,146.4,124.3,104.4,86.9,71.4,55.8,39.5,24.0,11.5,22.1,19.9,17.5,15.5,15.6,16.3,15.5,12.5,11.5,2026.6.11,栗東,スワーヴリチャード,ティッカーコード,前田良平,
