日付S,場所,Ｒ,クラス,枠番,馬番,馬名,年齢,単オッズ,人気,騎手,所属,調教師,馬主,芝ダ,距離,マイニング値,マイニング順位,ﾏｲ差
2026.6.21,阪神,9,2勝,1,1, ステラクラウン,5,,,岩田望来,(栗),上村洋行,下河辺牧場,芝,2000,119.23,2, 0.57
2026.6.21,阪神,9,2勝,2,2, ロードガレリア,4,,,高杉吏麒,(栗),藤岡健一,ロードホースクラブ,芝,2000,119.43,4, 0.77
2026.6.21,阪神,9,2勝,3,3, ダノンカゼルタ,4,,,Ｍ．デム,(栗),寺島良,ダノックス,芝,2000,119.25,3, 0.59
2026.6.21,阪神,9,2勝,4,4, ミカエルパシャ,5,,,北村友一,(栗),橋口慎介,迫田三果子,芝,2000,119.94,6, 1.28
2026.6.21,阪神,9,2勝,5,5, カリーニョ,5,,,坂井瑠星,(栗),杉山晴紀,近藤英子,芝,2000,118.66,1,-0.57
2026.6.21,阪神,9,2勝,6,6, ラーテル,6,,,城戸義政,(美),室井潔,Mr.ホース,芝,2000,120.62,7, 1.96
2026.6.21,阪神,9,2勝,7,7, エコテーラー,5,,,藤懸貴志,(栗),石橋守,中西浩一,芝,2000,119.70,5, 1.04
2026.6.21,阪神,10,3勝,1,1, トウカイポワール,5,,,亀田温心,(栗),北出成人,内村正則,ダ,1800,114.69,16, 1.37
2026.6.21,阪神,10,3勝,1,2, メイショウシナノ,6,,,菱田裕二,(栗),大橋勇樹,松本好隆,ダ,1800,113.44,4, 0.12
2026.6.21,阪神,10,3勝,2,3,$アークドール,5,,,Ｍ．デム,(栗),松永幹夫,インゼルレーシング,ダ,1800,113.61,9, 0.29
2026.6.21,阪神,10,3勝,2,4, ティンティンデオ,5,,,松若風馬,(栗),小崎憲,風早信昭,ダ,1800,114.44,15, 1.12
2026.6.21,阪神,10,3勝,3,5, ヒロノラメール,5,,,吉村誠之,(栗),宮地貴稔,高原将浩,ダ,1800,113.74,10, 0.42
2026.6.21,阪神,10,3勝,3,6, ルクスフレンジー,4,,,酒井学,(栗),松永幹夫,ルクス,ダ,1800,113.50,6, 0.18
2026.6.21,阪神,10,3勝,4,7, タマモキャリコ,5,,,富田暁,(栗),宮地貴稔,タマモ,ダ,1800,113.59,8, 0.27
2026.6.21,阪神,10,3勝,4,8, パシアンジャン,5,,,田口貫太,(栗),鈴木孝志,吉田智,ダ,1800,113.34,2, 0.02
2026.6.21,阪神,10,3勝,5,9, アカデミア,4,,,坂井瑠星,(栗),杉山晴紀,近藤英子,ダ,1800,113.43,3, 0.11
2026.6.21,阪神,10,3勝,5,10, ロフティストーリー,4,,,横山和生,(美),久保田貴,G1レーシング,ダ,1800,113.45,5, 0.13
2026.6.21,阪神,10,3勝,6,11, ルクスビッグスター,6,,,小崎綾也,(栗),清水久詞,ルクス,ダ,1800,113.97,12, 0.65
2026.6.21,阪神,10,3勝,6,12, キュールエフウジン,7,,,角田大和,(栗),中尾秀正,岡本良三,ダ,1800,114.17,13, 0.85
2026.6.21,阪神,10,3勝,7,13, ペイシャモノノフ,6,,,池添謙一,(栗),畑端省吾,北所直人,ダ,1800,114.30,14, 0.98
2026.6.21,阪神,10,3勝,7,14, レヴァンテシチー,4,,,松山弘平,(栗),柴田卓,友駿ホースクラブ,ダ,1800,113.32,1,-0.02
2026.6.21,阪神,10,3勝,8,15, ロカヒ,4,,,幸英明,(栗),飯田祐史,前田幸治,ダ,1800,113.51,7, 0.19
2026.6.21,阪神,10,3勝,8,16, ウィンターダフネ,6,,,柴田裕一,(栗),橋田宜長,金子真人ホールディングス,ダ,1800,113.78,11, 0.46
2026.6.21,阪神,11,Ｇ３,1,1, スマートワイス,5,25.0,10,川田将雅,(栗),大久保龍,大川徹,芝,1600,92.74,8, 0.36
2026.6.21,阪神,11,Ｇ３,1,2, ファインライン,5,37.2,12,小崎綾也,(栗),松永幹夫,窪田芳郎,芝,1600,92.67,4, 0.29
2026.6.21,阪神,11,Ｇ３,2,3, メイショウシンタケ,8,85.2,17,太宰啓介,(栗),千田輝彦,松本好隆,芝,1600,93.22,16, 0.84
2026.6.21,阪神,11,Ｇ３,2,4, ブエナオンダ,5,47.3,14,田口貫太,(栗),須貝尚介,金子真人ホールディングス,芝,1600,92.56,3, 0.18
2026.6.21,阪神,11,Ｇ３,3,5, ファーヴェント,5,8.6,4,高杉吏麒,(栗),藤原英昭,キャロットファーム,芝,1600,92.78,10, 0.40
2026.6.21,阪神,11,Ｇ３,3,6,$シンフォーエバー,4,95.2,18,吉村誠之,(栗),森秀行,藤田晋,芝,1600,93.50,18, 1.12
2026.6.21,阪神,11,Ｇ３,4,7, キープカルム,5,17.5,7,坂井瑠星,(栗),中竹和也,前田晋二,芝,1600,92.38,1,-0.12
2026.6.21,阪神,11,Ｇ３,4,8, サイルーン,7,9.7,5,岩田望来,(美),堀宣行,金子真人ホールディングス,芝,1600,92.71,7, 0.33
2026.6.21,阪神,11,Ｇ３,5,9, ファンダム,4,7.4,3,北村宏司,(美),辻哲英,キャロットファーム,芝,1600,92.75,9, 0.37
2026.6.21,阪神,11,Ｇ３,5,10, エルトンバローズ,6,21.9,9,松若風馬,(栗),杉山晴紀,猪熊広次,芝,1600,92.69,5, 0.31
2026.6.21,阪神,11,Ｇ３,6,11, エコロアルバ,3,3.0,1,横山和生,(美),田村康仁,原村正紀,芝,1600,92.94,12, 0.56
2026.6.21,阪神,11,Ｇ３,6,12, カズミクラーシュ,5,20.3,8,幸英明,(栗),吉岡辰弥,吉田和美,芝,1600,92.81,11, 0.43
2026.6.21,阪神,11,Ｇ３,7,13, メタルスピード,6,59.1,15,菱田裕二,(美),斎藤誠,"Him Rock Racingホールディングス",芝,1600,93.26,17, 0.88
2026.6.21,阪神,11,Ｇ３,7,14, ミニトランザット,4,7.3,2,松山弘平,(栗),杉山佳明,谷掛龍夫,芝,1600,92.50,2, 0.12
2026.6.21,阪神,11,Ｇ３,7,15, ショウナンアデイブ,7,39.5,13,池添謙一,(栗),高野友和,国本哲秀,芝,1600,93.02,15, 0.64
2026.6.21,阪神,11,Ｇ３,8,16, スリールミニョン,4,60.6,16,永島まな,(栗),高橋康之,福盛訓之,芝,1600,92.99,14, 0.61
2026.6.21,阪神,11,Ｇ３,8,17, スイープアワーズ,6,11.7,6,国分優作,(栗),宮地貴稔,大塚亮一,芝,1600,92.70,6, 0.32
2026.6.21,阪神,11,Ｇ３,8,18, タガノエルピーダ,5,37.1,11,亀田温心,(栗),斉藤崇史,八木良司,芝,1600,92.95,13, 0.57
2026.6.21,阪神,12,2勝,1,1, キングロコマイカイ,7,,,森田誠也,(栗),畑端省吾,大和屋暁,ダ,1800,115.09,11, 1.64
2026.6.21,阪神,12,2勝,2,2, クリノフィガロ,5,,,幸英明,(栗),荒川義之,栗本依利子,ダ,1800,113.87,2, 0.42
2026.6.21,阪神,12,2勝,3,3, ソウルアンドジャズ,5,,,川須栄彦,(美),武井亮,グリーンファーム,ダ,1800,114.53,7, 1.08
2026.6.21,阪神,12,2勝,4,4,$クロノスバレット,4,,,松山弘平,(栗),吉村圭司,山田有暉朗,ダ,1800,113.90,3, 0.45
2026.6.21,阪神,12,2勝,4,5, ジーニアスバローズ,6,,,松若風馬,(栗),辻野泰之,猪熊広次,ダ,1800,115.02,10, 1.57
2026.6.21,阪神,12,2勝,5,6,$エリカヴェネチア,5,,,北村友一,(栗),吉岡辰弥,三木正浩,ダ,1800,114.62,9, 1.17
2026.6.21,阪神,12,2勝,5,7, メイショウマントル,8,,,藤懸貴志,(栗),安達昭夫,松本和子,ダ,1800,114.57,8, 1.12
2026.6.21,阪神,12,2勝,6,8, フラッシング,5,,,田山旺佑,(栗),牧浦充徳,マークス,ダ,1800,114.30,5, 0.85
2026.6.21,阪神,12,2勝,6,9, エンマ,4,,,高倉稜,(栗),武英智,村木慎吾,ダ,1800,114.31,6, 0.86
2026.6.21,阪神,12,2勝,7,10, ダディーズトリップ,10,,,岩田望来,(栗),千田輝彦,田島大史,ダ,1800,115.61,13, 2.16
2026.6.21,阪神,12,2勝,7,11, ハッピーダンチャン,4,,,国分優作,(栗),小椋研介,三宅勝俊,ダ,1800,115.47,12, 2.02
2026.6.21,阪神,12,2勝,8,12, タガノアバンドーネ,3,,,川田将雅,(栗),角田晃一,八木昌司,ダ,1800,113.45,1,-0.42
2026.6.21,阪神,12,2勝,8,13, レッドリベルタ,5,,,田口貫太,(栗),庄野靖志,東京ホースレーシング,ダ,1800,114.20,4, 0.75
